target,plat,recettes,plat_recette
Desserts,"crème anglaise réussie, onctueuse à souhait","sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf","crème anglaise réussie, onctueuse à souhait sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf"
Desserts,crème pâtissière,"sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf","crème pâtissière sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf"
Desserts,panna cotta,"sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf","panna cotta sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf"
Desserts,crème brûlée,"sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf","crème brûlée sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf"
Desserts,crème chantilly,"sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf","crème chantilly sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf"
Desserts,riz au lait de ma maman,"sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf","riz au lait de ma maman sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf"
Desserts,oeufs au lait,"sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf","oeufs au lait sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf"
Desserts,crème renversée vite faite,"sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf","crème renversée vite faite sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf"
Desserts,crème dessert facile au chocolat,"sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf","crème dessert facile au chocolat sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf"
Desserts,"petits pot de crème à la vanille, simple rapide et économique","sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf","petits pot de crème à la vanille, simple rapide et économique sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf"
Desserts,crème fouettée 'chantilly' salée ou sucrée,"sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf","crème fouettée 'chantilly' salée ou sucrée sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf"
Desserts,moelleux au chocolat sans beurre (ni crème),"sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf","moelleux au chocolat sans beurre (ni crème) sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf"
Desserts,riz au lait de ma maman au cookeo,"sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf","riz au lait de ma maman au cookeo sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf"
Desserts,crème catalane facile,"sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf","crème catalane facile sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf"
Desserts,crème pâtissière facile,"sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf","crème pâtissière facile sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf"
Desserts,crème vanille aux perles de tapioca,"sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf","crème vanille aux perles de tapioca sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf"
Desserts,chantilly au siphon,"sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf","chantilly au siphon sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf"
Desserts,crème pâtissière au chocolat,"sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf","crème pâtissière au chocolat sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf"
Desserts,riz au lait crémeux tout simple,"sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf","riz au lait crémeux tout simple sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf"
Desserts,crème pâtissière au thermomix,"sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf","crème pâtissière au thermomix sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf"
Desserts,crème anglaise réussie onctueuse à souhait au thermomix,"sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf","crème anglaise réussie onctueuse à souhait au thermomix sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf"
Desserts,riz au lait a l'ancienne,"sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf","riz au lait a l'ancienne sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf"
Desserts,riz au lait de ma maman au thermomix,"sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf","riz au lait de ma maman au thermomix sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf"
Desserts,crème brûlée au thermomix,"sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf","crème brûlée au thermomix sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf"
Desserts,crème au chocolat façon danette,"sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf","crème au chocolat façon danette sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf"
Desserts,panna cotta duo de chocolats au thermomix,"sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf","panna cotta duo de chocolats au thermomix sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf"
Desserts,panacotta vanille (agar-agar),"sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf","panacotta vanille (agar-agar) sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf"
Desserts,riz au lait cuit au four,"sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf","riz au lait cuit au four sucre, lait demi-écrémé, vanille, maïzena, jaune d'oeuf"
